Close,High,Low,Open,Volume
AAPL,AAPL,AAPL,AAPL,AAPL
72.40052795410156,72.46079141879511,71.15668916006118,71.4097927692221,135480400
71.69661712646484,72.4559349891833,71.47243889814949,71.62912236880935,146322800
72.2679443359375,72.30651383633005,70.56851756430221,70.81921563866376,118387200
71.92805480957031,72.53309491165653,71.70869494472285,72.2775784441153,108872000
73.0850830078125,73.3864001786431,71.63152926998076,71.63152926998076,132079200
74.63748931884766,74.83032941641996,73.81067654984861,74.06136720541696,170108400
74.80622100830078,75.37029336253585,74.30483235122053,74.87131024106992,140644800
76.4044189453125,76.4309386915993,75.00389679896787,75.12201817653433,121532000
75.37271118164062,76.5514679630278,75.24977872842311,76.34175230410106,161954400
75.0497055053711,76.0524904138791,74.6182170498927,75.17264532410701,121923600
75.98981475830078,76.1007048279931,75.23049658770428,75.5920773695483,108829200
76.83110046386719,76.83350600016065,75.9319669058597,76.23810266381822,137816400
76.31040954589844,76.90098699093934,76.1730071029982,76.45986173724447,110843200
76.58280944824219,77.13481745633268,76.48879491769239,76.79493065234263,101832400
76.95161437988281,77.03115890447519,76.08863757604202,76.63583446102108,104472000
76.72985076904297,77.93993845348767,76.53941616685312,77.19749582877215,146537600
74.47357177734375,75.15333787807808,73.4924810810553,74.74113795467083,161940000
76.58036804199219,76.75151414831822,75.25457238901554,75.35340531136629,162234000
78.18339538574219,79.0294966511186,77.46987813568431,78.20991513135742,216229200
78.07011413574219,78.12314628033491,76.83591952309017,77.26740800153176,126743200
74.60857391357422,77.78324876217432,74.31448794421121,77.361404556077,199588400
74.40369415283203,75.56798119819389,72.85130652142897,73.35269537300906,173788400
76.86002349853516,77.05045810466474,75.60172207527795,76.00669078804627,136616400
77.48675537109375,78.28464294726993,76.88412080562057,77.98573120045752,118826800
78.3930892944336,78.39550218601465,77.19987762571796,77.75671120906061,105425600
77.32754516601562,78.141823360646,76.83704482888538,77.89294895065062,117684000
77.69482421875,77.69482421875,75.83430875751218,75.91404207954616,109348800
77.22604370117188,78.26262078747321,77.00858188468877,78.19013597325772,94323200
79.05999755859375,79.06482742202022,77.67547849475221,77.67547849475221,113730400
78.49700164794922,78.82319807398167,78.12973294999506,78.33269781258844,94747600
78.51634216308594,78.7652165546687,78.00892627887556,78.4655954129786,80113600
77.07866668701172,77.25988612279623,76.01792538344428,76.19914481922879,152531200
78.19498443603516,78.42453202537972,77.32029972520789,77.32029972520789,93984000
77.39278411865234,78.4438584118609,76.88778679879077,77.9557766771897,100566000
75.64099884033203,77.42903672549149,75.02485563249914,76.98685711850104,129554000
72.04801940917969,73.49777501677713,69.8854717188165,71.82572767869755,222195200
69.60760498046875,73.09910313567873,69.13643877148064,72.71733735421887,230673600
70.71182250976562,71.97552869907848,69.22582460812832,69.23307309062069,198054800
66.08950805664062,69.10500169424336,65.95419815371966,67.92103635676665,320605600
66.05084228515625,67.27105731603613,61.94562123770189,62.160671794936235,426510000
72.20024108886719,72.83571844288954,67.10435128397388,68.20616489725688,341397200
69.90723419189453,73.45430200587779,69.05670597572669,73.37456867253212,319475600
73.14983367919922,73.30930768219956,70.82781196815235,71.62759322830975,219178400
70.77706146240234,72.3790349760971,70.41220399588842,71.40528289969257,187572800
69.83714294433594,70.26965542799252,67.95246362121284,68.13851293457299,226176800
64.31356811523438,67.19374467213605,63.54761077884886,63.72883020122201,286744800
68.94554901123047,69.21133903609883,65.08678222072572,66.96422060751131,285290000
66.551025390625,67.9500415324096,65.68841908631278,67.02461750309321,255598800
59.978797912597656,65.23899494473845,59.92322498627828,61.841735279374994,418474000
67.16476440429688,67.6359379478289,61.119282212065336,64.00430027982446,370732000
58.52421569824219,62.60044010140755,57.99022079286357,58.4613905994218,322423600
61.097537994384766,62.24525757240569,57.60362512771133,59.804837684368415,324056000
59.60186767578125,60.406482464640554,57.29433930824816,57.93465023452481,300233600
59.14519500732422,61.09269941838276,58.62086718026377,59.77583883377371,271857200
55.39031219482422,60.84863936134058,55.090694808051374,59.725076926130875,401693200
54.2136116027832,55.21152792629808,51.37209184292637,55.110045472758834,336752800
59.652618408203125,59.848334846629584,56.612963377579604,57.110712267138126,287531200
59.323997497558594,62.399894457247456,59.029213577289134,60.58770003932158,303602000
62.44580078125,62.503788640032134,59.526959345508246,59.565620375975534,252087200
59.86040496826172,61.82482113234886,59.69368249851185,61.07094946417779,204216800
61.56869888305664,61.74025490515105,60.2615017965214,60.5852833250574,167976400
61.443058013916016,63.42438996368667,60.88973623938196,61.75959108899796,197002000
58.2100944519043,60.09719207609643,57.78000065964953,59.56078230159109,176218400
59.18143844604492,59.234596446659125,57.241182484383906,58.072376290076036,165934000
58.33090591430664,59.36747934105108,57.74133816366961,58.666765747737614,129880000
63.419551849365234,63.57418859482583,60.25666962435699,60.62393834693367,201820400
62.685020446777344,65.64977566750463,62.5811230546705,65.43230640646736,202887200
64.28939819335938,64.60350888065241,63.119929845723,63.48477990198321,168895200
64.7533187866211,65.25590475851683,63.95837493137018,64.92487847473,161834800
66.02427673339844,66.13301133720609,64.23140932290158,64.83064420547504,131022800
69.35871124267578,69.64866527052683,67.1840781553046,67.65525160710325,194994800
68.72564697265625,69.18473466784468,67.80747158227939,68.23514673339383,131154400
69.27173614501953,69.63659364674618,68.22308052874929,69.43845862105105,157125200
68.3318099975586,69.33456350529407,66.89655138464681,68.7884865443206,215250000
66.9134521484375,68.06117506076643,66.8941253228232,67.15991526149827,130015200
64.84514617919922,66.99078550242736,64.13476539316186,66.75640806793423,180991600
66.71292114257812,67.14784486961675,65.77058148476895,66.11126755910753,116862400
66.4543685913086,68.07809487584751,66.41570756383898,66.65733345514633,124814400
68.37287902832031,68.38254612868516,66.93037215656294,66.97870028455014,126161200
68.42120361328125,68.75222988872481,67.64316798553294,68.09016996400102,117087600
67.3121337890625,69.06392140300909,67.22032214952667,68.88270199466979,112004800
69.52304077148438,69.9917957281478,68.5951979613223,68.79816288474782,137280800
70.98970031738281,71.16608991336996,69.67284332982524,70.06185756526263,183064000
69.8468017578125,72.24614521202258,69.06876605288338,69.16541493960355,240616800
70.83505249023438,70.96311392727311,69.1823321546666,69.87096747127923,133568000
71.89820861816406,72.7294023781066,71.14916678667844,71.29414381435919,147751200
72.64000701904297,73.27064717863384,72.21474300795924,72.59892736503848,142333600
73.39142608642578,73.73695662198787,72.96375102865532,73.26578331138913,115215200
75.13829040527344,75.19159229593362,73.72337622769179,74.05045567520663,133838400
76.32062530517578,76.81487118254181,74.43810496971201,74.64646961486733,145946400
75.44839477539062,77.45447232361859,75.32725480896673,77.00382780374734,162301200
74.53742980957031,76.54835795686193,73.46170617265714,75.6276896528906,200622400
74.99534606933594,75.0559160635201,73.05468108965971,73.77667808210235,158929200
74.55198669433594,74.59802049199271,72.73488645146278,72.76880920502032,166348400
76.3084945678711,76.68160777866888,75.18431939181484,75.87481876052446,135178400
75.8675537109375,77.17101374486556,75.83605613168199,76.32545901161194,101729600
77.34303283691406,77.41328870045753,76.68644883413718,76.7252145142633,111504800
76.76641845703125,77.74523171426733,76.52898139842385,77.20494465969075,102688800
77.26067352294922,77.34304783651851,76.40300024409417,76.50475370458611,81803200
76.73733520507812,78.55685269616119,76.68160815192094,78.37756788987811,125522000
77.07169342041016,77.21706291080646,75.85545038481993,76.59440888025136,112945200
77.1056137084961,78.36304756047794,76.47084126097369,76.74703662948228,133560800
77.03047943115234,77.80819591494127,76.67432764803091,77.3478655392773,153532400
77.97782897949219,78.09896899425175,76.85364609349955,76.9844793797038,80791200
78.33881378173828,78.36304326033381,77.27035810172477,77.71130947324757,87642800
78.77008056640625,79.03174713400516,78.08684912120862,78.65863382513984,104491200
78.09168243408203,78.89120338502829,77.71856920653472,78.59320375117642,87560400
80.31580352783203,80.37637351540958,78.31215100053369,78.34122341156335,137250400
80.7906723022461,80.82459504521165,79.30307721267422,80.01295571139336,95654400
83.3418960571289,83.7343884798814,80.43938634656227,80.47088393003234,147712400
85.48609161376953,85.95369033389235,83.85070128279254,84.28922758003938,166651600
81.38185119628906,85.05481691401155,81.28009773597238,84.63082691049463,201662400
82.08446502685547,84.26498513269779,80.97482582626513,83.51876594974783,200146000
83.09961700439453,83.75135081292053,80.5774812512651,80.73981210877636,138808800
85.30195617675781,85.57331604172421,83.51877856978042,85.1517437297766,165428800
85.18323516845703,86.10632149459083,85.062095153019,86.04575148687181,114406400
85.21715545654297,85.63387739334637,84.60903023062069,85.1396240743936,96820400
84.73015594482422,86.38735014117718,83.62293464807695,85.92217671437545,264476000
86.94700622558594,87.08995051171077,85.07660467814306,85.12263846107449,135445200
88.80289459228516,90.22023417459731,87.77077935086206,88.18992644325299,212155600
87.23533630371094,89.3504433677871,86.86222303304002,88.43220009652119,192623200
88.3934097290039,88.43217540547836,86.63203728063971,87.39037465274075,137522400
85.6774673461914,88.50972079929527,85.52967271907464,88.28924513838203,205256800
87.65206146240234,87.74655421504602,85.10812136493809,85.5854132789762,130646000
88.38374328613281,88.66963931267749,87.22080221413067,87.24018136135113,140223200
